2015-10-22 15:59:17.906 D  registerFont(SansSerif,Leelawadee)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Microsoft JhengHei UI)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Microsoft Uighur)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Microsoft YaHei UI)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Nirmala UI)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Segoe UI Semilight)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Nina)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Segoe Condensed)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Buxton Sketch)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Segoe Marker)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,SketchFlow Print)
2015-10-22 15:59:17.906 I  Found 242 font faces
2015-10-22 15:59:17.906 D  Creating default theme
2015-10-22 15:59:18.076 D  Loading string resources from file @embedded@/std_en.ini
2015-10-22 15:59:18.076 I  Applying loaded theme theme_default
2015-10-22 15:59:18.076 D  Creating SDL window
2015-10-22 15:59:18.956 I  Trying to create OpenGL 3.2 context
2015-10-22 15:59:18.966 E  GLSupport programs are not initialized
2015-10-22 15:59:18.966 E  GLSupport programs are not initialized
2015-10-22 15:59:18.966 D  compileShader glsl=1.50 NVIDIA via Cg compiler type:GL_VERTEX_SHADER code:
#version 150

            in vec4 vertex;
            in vec4 colAttr;
            in vec4 texCoord;
            out vec4 col;
            out vec4 texc;
            uniform mat4 matrix;
            void main(void)
            {
                gl_Position = matrix * vertex;
                col = colAttr;
                texc = texCoord;
            }
        
2015-10-22 15:59:18.966 D  compileShader glsl=1.50 NVIDIA via Cg compiler type:GL_FRAGMENT_SHADER code:
#version 150

            uniform sampler2D tex;
            in vec4 col;
            in vec4 texc;
            out vec4 outColor;
            void main(void)
            {
                outColor = texture(tex, texc.st) * col;
            }
        
2015-10-22 15:59:18.966 D  Program compiled successfully
2015-10-22 15:59:18.966 D  compileShader glsl=1.50 NVIDIA via Cg compiler type:GL_VERTEX_SHADER code:
#version 150

            in vec4 vertex;
            in vec4 colAttr;
            in vec4 texCoord;
            out vec4 col;
            out vec4 texc;
            uniform mat4 matrix;
            void main(void)
            {
                gl_Position = matrix * vertex;
                col = colAttr;
                texc = texCoord;
            }
        
2015-10-22 15:59:18.966 D  compileShader glsl=1.50 NVIDIA via Cg compiler type:GL_FRAGMENT_SHADER code:
#version 150

            uniform sampler2D tex;
            in vec4 col;
            in vec4 texc;
            out vec4 outColor;
            void main(void)
            {
                outColor = texture(tex, texc.st) * col;
            }
        
2015-10-22 15:59:18.976 D  Program compiled successfully
